Country Name,Cresta Id,Zone Code,Zone Name
Australia,Australia CR17,800,Darwin
Australia,Australia CR17,810,Darwin
Australia,Australia CR17,812,Darwin
Australia,Australia CR17,820,Darwin
Australia,Australia CR16,822,North NT
Australia,Australia CR17,828,Darwin
Australia,Australia CR17,829,Darwin
Australia,Australia CR17,830,Darwin
Australia,Australia CR17,832,Darwin
Australia,Australia CR16,834,North NT
Australia,Australia CR16,835,North NT
Australia,Australia CR16,836,North NT
Australia,Australia CR16,837,North NT
Australia,Australia CR16,838,North NT
Australia,Australia CR16,839,North NT
Australia,Australia CR16,840,North NT
Australia,Australia CR16,841,North NT
Australia,Australia CR16,845,North NT
Australia,Australia CR16,846,North NT
Australia,Australia CR16,847,North NT
Australia,Australia CR16,850,North NT
Australia,Australia CR18,852,Remainder NT
Australia,Australia CR16,853,North NT
Australia,Australia CR18,854,Remainder NT
Australia,Australia CR18,860,Remainder NT
Australia,Australia CR18,862,Remainder NT
Australia,Australia CR18,870,Remainder NT
Australia,Australia CR18,872,Remainder NT
Australia,Australia CR18,873,Remainder NT
Australia,Australia CR18,874,Remainder NT
Australia,Australia CR18,875,Remainder NT
Australia,Australia CR16,880,North NT
Australia,Australia CR16,885,North NT
Australia,Australia CR16,886,North NT
Australia,Australia CR41,2000,Sydney South
Australia,Australia CR41,2007,Sydney South
Australia,Australia CR41,2008,Sydney South
Australia,Australia CR41,2009,Sydney South
Australia,Australia CR41,2010,Sydney South
Australia,Australia CR41,2011,Sydney South
Australia,Australia CR41,2015,Sydney South
Australia,Australia CR41,2016,Sydney South
Australia,Australia CR41,2017,Sydney South
Australia,Australia CR41,2018,Sydney South
Australia,Australia CR41,2019,Sydney South
Australia,Australia CR41,2020,Sydney South
Australia,Australia CR41,2021,Sydney South
Australia,Australia CR41,2022,Sydney South
Australia,Australia CR41,2023,Sydney South
Australia,Australia CR41,2024,Sydney South
Australia,Australia CR41,2025,Sydney South
Australia,Australia CR41,2026,Sydney South
Australia,Australia CR41,2027,Sydney South
Australia,Australia CR41,2028,Sydney South
Australia,Australia CR41,2029,Sydney South
Australia,Australia CR41,2030,Sydney South
Australia,Australia CR41,2031,Sydney South
Australia,Australia CR41,2032,Sydney South
Australia,Australia CR41,2033,Sydney South
Australia,Australia CR41,2034,Sydney South
Australia,Australia CR41,2035,Sydney South
Australia,Australia CR41,2036,Sydney South
Australia,Australia CR41,2037,Sydney South
Australia,Australia CR41,2038,Sydney South
Australia,Australia CR41,2039,Sydney South
Australia,Australia CR41,2040,Sydney South
Australia,Australia CR41,2041,Sydney South
Australia,Australia CR41,2042,Sydney South
Australia,Australia CR41,2043,Sydney South
Australia,Australia CR41,2044,Sydney South
Australia,Australia CR41,2045,Sydney South
Australia,Australia CR41,2046,Sydney South
Australia,Australia CR41,2047,Sydney South
Australia,Australia CR41,2048,Sydney South
Australia,Australia CR41,2049,Sydney South
Australia,Australia CR41,2050,Sydney South
Australia,Australia CR43,2060,Sydney North
Australia,Australia CR43,2061,Sydney North
Australia,Australia CR43,2062,Sydney North
Australia,Australia CR43,2063,Sydney North
Australia,Australia CR43,2064,Sydney North
Australia,Australia CR43,2065,Sydney North
Australia,Australia CR43,2066,Sydney North
Australia,Australia CR43,2067,Sydney North
Australia,Australia CR43,2068,Sydney North
Australia,Australia CR43,2069,Sydney North
Australia,Australia CR43,2070,Sydney North
Australia,Australia CR43,2071,Sydney North
Australia,Australia CR43,2072,Sydney North
Australia,Australia CR43,2073,Sydney North
Australia,Australia CR43,2074,Sydney North
Australia,Australia CR43,2075,Sydney North
Australia,Australia CR43,2076,Sydney North
Australia,Australia CR43,2077,Sydney North
Australia,Australia CR43,2079,Sydney North
Australia,Australia CR43,2080,Sydney North
Australia,Australia CR43,2081,Sydney North
Australia,Australia CR43,2082,Sydney North
Australia,Australia CR44,2083,Central Coast NSW
Australia,Australia CR43,2084,Sydney North
Australia,Australia CR43,2085,Sydney North
Australia,Australia CR43,2086,Sydney North
Australia,Australia CR43,2087,Sydney North
