id,postcode,locality,state,long,lat
230,200,ANU,ACT,149.119,-35.2777
21820,800,Australian National University,ACT,149.1189,-35.2777
232,801,DARWIN,NT,130.83668,-12.458684
24049,803,DARWIN CITY,NT,130.83668,-12.458684
233,804,DARWIN,NT,130.83668,-12.458684
24055,810,WAGAIT BEACH,NT,130.7459083,-12.43399126
234,811,PARAP,NT,130.873315,-12.428017
235,812,ALAWA,NT,130.866242,-12.381806
236,813,BRINKIN,NT,130.866242,-12.381806
237,814,CASUARINA,NT,130.866242,-12.381806
19972,815,COCONUT GROVE,NT,130.8502369,-12.39614166
239,820,JINGILI,NT,130.866242,-12.381806
240,821,LEE POINT,NT,130.866242,-12.381806
19973,822,LYONS,NT,130.8885151,-12.35911956
241,828,MILLNER,NT,130.866242,-12.381806
242,829,MOIL,NT,130.866242,-12.381806
19974,830,MUIRHEAD,NT,130.8959029,-12.35811947
243,831,NAKARA,NT,130.866242,-12.381806
244,832,NIGHTCLIFF,NT,130.866242,-12.381806
245,834,RAPID CREEK,NT,130.866242,-12.381806
246,835,TIWI,NT,130.866242,-12.381806
247,836,WAGAMAN,NT,130.866242,-12.381806
248,837,WANGURI,NT,130.866242,-12.381806
249,838,CASUARINA,NT,130.866242,-12.381806
19975,839,ANULA,NT,130.89047,-12.39124885
19976,840,BUFFALO CREEK,NT,130.9209831,-12.34638634
19977,841,HOLMES,NT,130.9268602,-12.38479951
251,845,KARAMA,NT,130.916098,-12.404778
252,846,LEANYER,NT,130.916098,-12.404778
253,847,MALAK,NT,130.916098,-12.404778
254,850,MARRARA,NT,130.916098,-12.404778
255,851,NORTHLAKES,NT,130.916098,-12.404778
256,852,SANDERSON,NT,130.916098,-12.404778
257,853,WOODLEIGH GARDENS,NT,130.916098,-12.404778
258,854,WULAGI,NT,130.916098,-12.404778
24056,860,KARAMA,NT,130.916098,-12.404778
259,861,SANDERSON,NT,130.916098,-12.404778
260,862,NIGHTCLIFF,NT,130.866242,-12.381806
