Country ISO3,Country Name,Postcode,Zone Name,CRESTA Scheme,CRESTA ID,Zone Name
AUS,Australia,800,Darwin,LowRes,Australia CR17,Darwin
AUS,Australia,810,Moil,LowRes,Australia CR17,Darwin
AUS,Australia,812,Wulagi,LowRes,Australia CR17,Darwin
AUS,Australia,820,Parap,LowRes,Australia CR17,Darwin
AUS,Australia,822,Galiwinku,LowRes,Australia CR16,North NT
AUS,Australia,828,Knuckey Lagoon,LowRes,Australia CR17,Darwin
AUS,Australia,829,Pinelands,LowRes,Australia CR17,Darwin
AUS,Australia,830,Driver,LowRes,Australia CR17,Darwin
AUS,Australia,832,Rosebery,LowRes,Australia CR17,Darwin
AUS,Australia,834,Virginia,LowRes,Australia CR16,North NT
AUS,Australia,835,Howard Springs,LowRes,Australia CR16,North NT
AUS,Australia,836,Humpty Doo,LowRes,Australia CR16,North NT
AUS,Australia,837,Noonamah,LowRes,Australia CR16,North NT
AUS,Australia,838,Berry Springs,LowRes,Australia CR16,North NT
AUS,Australia,839,Coolalinga,LowRes,Australia CR16,North NT
AUS,Australia,840,Dundee Beach,LowRes,Australia CR16,North NT
AUS,Australia,841,Darwin River,LowRes,Australia CR16,North NT
AUS,Australia,845,Batchelor,LowRes,Australia CR16,North NT
AUS,Australia,846,Adelaide River,LowRes,Australia CR16,North NT
AUS,Australia,847,Pine Creek,LowRes,Australia CR16,North NT
AUS,Australia,850,Katherine,LowRes,Australia CR16,North NT
AUS,Australia,852,Ngukurr,LowRes,Australia CR18,Remainder NT
AUS,Australia,853,Tindal,LowRes,Australia CR16,North NT
AUS,Australia,854,Borroloola,LowRes,Australia CR18,Remainder NT
AUS,Australia,860,Tennant Creek,LowRes,Australia CR18,Remainder NT
AUS,Australia,862,Elliott,LowRes,Australia CR18,Remainder NT
AUS,Australia,870,Alice Springs,LowRes,Australia CR18,Remainder NT
AUS,Australia,872,Amata,LowRes,Australia CR18,Remainder NT
AUS,Australia,873,Connellan,LowRes,Australia CR18,Remainder NT
AUS,Australia,874,Undoolya,LowRes,Australia CR18,Remainder NT
AUS,Australia,875,Flynn,LowRes,Australia CR18,Remainder NT
AUS,Australia,880,Nhulunbuy,LowRes,Australia CR16,North NT
AUS,Australia,885,Alyangula,LowRes,Australia CR16,North NT
AUS,Australia,886,Jabiru,LowRes,Australia CR16,North NT
AUS,Australia,2000,The Rocks,LowRes,Australia CR41,Sydney South
AUS,Australia,2007,Ultimo,LowRes,Australia CR41,Sydney South
AUS,Australia,2008,Chippendale,LowRes,Australia CR41,Sydney South
AUS,Australia,2009,Pyrmont,LowRes,Australia CR41,Sydney South
AUS,Australia,2010,Surry Hills,LowRes,Australia CR41,Sydney South
AUS,Australia,2011,Rushcutters Bay,LowRes,Australia CR41,Sydney South
AUS,Australia,2015,Alexandria,LowRes,Australia CR41,Sydney South
AUS,Australia,2016,Redfern,LowRes,Australia CR41,Sydney South
AUS,Australia,2017,Waterloo,LowRes,Australia CR41,Sydney South
AUS,Australia,2018,Rosebery,LowRes,Australia CR41,Sydney South
AUS,Australia,2019,Banksmeadow,LowRes,Australia CR41,Sydney South
AUS,Australia,2020,Mascot,LowRes,Australia CR41,Sydney South
AUS,Australia,2021,Paddington,LowRes,Australia CR41,Sydney South
