Industry,Industry Segments,Occupancy
"Agriculture, Forestry and Fishing",Agricultural Products,Agricultural miscellaneous
"Agriculture, Forestry and Fishing",Agricultural Products,Farms
"Agriculture, Forestry and Fishing",Agricultural Products,Feed Manufacturing/Milling/Feedlot
"Agriculture, Forestry and Fishing",Agricultural Products,Grain Elevator/Storage
"Agriculture, Forestry and Fishing",Agricultural Products,Growing Crops
"Agriculture, Forestry and Fishing",Agricultural Products,Seed Cleaning / Processing
Residential and Commercial,Commercial Offices,Banks
Residential and Commercial,Commercial Offices,Offices
Construction and Trade,Construction and Trade,Electrical engineers
Information Media and Telecommunications,Edp / Data Centers,EDP / Data Centers
Food and Beverage,Food & Beverage,Abattoir
Food and Beverage,Food & Beverage,Bakery Products
Food and Beverage,Food & Beverage,Bottling Plant
Food and Beverage,Food & Beverage,Brewery
Food and Beverage,Food & Beverage,Cheese Factories
Food and Beverage,Food & Beverage,Coffee Roasting
Food and Beverage,Food & Beverage,Confection Manufacturing
Food and Beverage,Food & Beverage,Dairy Product Manufacturing
Food and Beverage,Food & Beverage,Distilleries
Food and Beverage,Food & Beverage,Fish Packing/Curing/Seafood processing
Food and Beverage,Food & Beverage,Fish/Prawn Farms
Food and Beverage,Food & Beverage,Food Processing/Packers
Food and Beverage,Food & Beverage,Food Processing (with cooking)
Food and Beverage,Food & Beverage,Fruit/Vegetable Canning
Food and Beverage,Food & Beverage,Grain/Flour Mill/Rice Mill
Food and Beverage,Food & Beverage,Greenhouses
Food and Beverage,Food & Beverage,Ice Manufacturers
Food and Beverage,Food & Beverage,Ice-Cream Factories
Food and Beverage,Food & Beverage,Jam Factories
Food and Beverage,Food & Beverage,Livestock (FLEXA only)
Food and Beverage,Food & Beverage,Meat Curer
Food and Beverage,Food & Beverage,Meat Packers & Processors
Food and Beverage,Food & Beverage,Milk Powder Manufacturing
Food and Beverage,Food & Beverage,Nuts/Seeds/Bean Processing
Food and Beverage,Food & Beverage,Potato Crisp Manufacturers
Food and Beverage,Food & Beverage,"Poultry Processing, Farms or Hatcheries"
Food and Beverage,Food & Beverage,Preserved food Manufacturers
Food and Beverage,Food & Beverage,Salt Works
Food and Beverage,Food & Beverage,Seafood Processing and Manufacturing
Food and Beverage,Food & Beverage,Soft Drinks/Mineral Water Manufacturing
Food and Beverage,Food & Beverage,Soups and Sauces Processing
Food and Beverage,Food & Beverage,Spice Mills
Food and Beverage,Food & Beverage,Starch Manufacturers
Food and Beverage,Food & Beverage,Sugar Mills & Refineries
Food and Beverage,Food & Beverage,Tea Factories
Food and Beverage,Food & Beverage,Tobacco Manufacturing
Food and Beverage,Food & Beverage,Vinegar Manufacturers
Food and Beverage,Food & Beverage,Winery
Hospitality,Hospitality - Bars/Restaurants,Bars/Taverns/Pubs
Hospitality,Hospitality - Bars/Restaurants,Restaurant
Healthcare and Social Assistance,Hospitals / Medical,Hospitals
Healthcare and Social Assistance,Hospitals / Medical,Medical Offices
Healthcare and Social Assistance,Hospitals / Medical,Veterinary Facilities
Hospitality,Hotels,Hotels - High
Hospitality,Hotels,Hotels - Low
Hospitality,Hotels,Hotels - Medium
Infrastructure,Infrastructure,Bridges
Infrastructure,Infrastructure,Dams
